source,target,weight
Giacomo Puccini,Zubin Mehta,13
London Philharmonic Orchestra,Zubin Mehta,13
Rollo Armstrong,Sister Bliss,13
Faithless,Sister Bliss,13
'Little Women' Original Broadway Cast,Jason Howland,13
Tha Slay Gang,That Girl Lay Lay,12
Anitta,Missy Elliott,12
Reprazent,Roni Size,12
Alejo,ROBI,12
Ingrid Haebler,London Symphony Orchestra,12
Feid,ROBI,12
Arthur Fiedler,Boston Pops Orchestra,12
Angela Gheorghiu,Michel Plasson,12
Giacomo Puccini,Mirella Freni,12
ML3V LLC,Pj Panda,12
Amitabh Bhattacharya,Salim–Sulaiman,12
J Balvin,Nicky Jam,12
Mr. Primm,Scatter,12
Cody,Heart,12
Arijit Singh,Shreya Ghoshal,12
Cody,Mr. Primm,12
Cody,Scatter,12
Heart,Mr. Primm,12
Alvin & The Chipmunks,David Seville,12
Amitabh Bhattacharya,Arijit Singh,12
Angela Gheorghiu,Georges Bizet,12
11:11 Music Group,untrusted,12
Heart,Scatter,12
Arijit Singh,Mithoon,12
Alberto Echagüe,Juan D'Arienzo,12
Criolo,Emicida,12
Amaal Mallik,Armaan Malik,12
Dj Victor,Mc Kadu,12
Ava Max,Tiësto,12
Angela Gheorghiu,Orchestre National Du Capitole De Toulouse,12
nothing,nowhere.,12
Giuseppe Verdi,London Symphony Orchestra,12
11:11 Music Group,creamy,12
Alejo,Feid,12
Leslie Odom Jr.,Lin-Manuel Miranda,12
Bagua Records,Xamã,12
Goodboys,MEDUZA,11
De La Ghetto,Jason Derulo,11
Milano,Orchestra Del Teatro Alla Scala,11
Arijit Singh,Jeet Gannguli,11
Mr. Dan,Rodriguinho,11
Michael Bublé,Rod Stewart,11
Alfredo De Angelis,Carlos Dante,11
Gaab,Rodriguinho,11
Above & Beyond,Richard Bedford,11
Dua Lipa,Sean Paul,11
Giuseppe Verdi,Vincenzo Ciliberti,11
Ana Paula Valadão,Diante do Trono,11
Jerry Garcia,Jerry Garcia Band,11
Berliner Philharmoniker,Mirella Freni,11
Herbert von Karajan,Mirella Freni,11
Iron Horse,Pickin' On Series,11
Juan Atkins,Moritz Von Oswald,11
Craig & Dean,Phillips,11
J Balvin,Ozuna,11
Nakash Aziz,Pritam,11
Aaron Smith,Luvli,11
Konzerthaus Kammerorchester Berlin,Max Richter,11
Daniel Hope,Max Richter,11
Daniel Hope,Konzerthaus Kammerorchester Berlin,11
Angela Gheorghiu,Wolff,11
Andre de Ridder,Max Richter,11
Andre de Ridder,Konzerthaus Kammerorchester Berlin,11
Andre de Ridder,Daniel Hope,11
White Noise Baby Sleep,White Noise for Babies,11
Rustage,Shwabadi,11
Felpita,Lambie,11
Doctora Juguetes,Felpita,11
creamy,untrusted,11
Antara Mitra,Arijit Singh,11
Boris Brejcha,Ginger,11
Andreas Vollenweider,Walter Keiser,11
Anthony Ramos,Lin-Manuel Miranda,11
